sid,dat,tim,open_value,low,high,close_value,volume
146,2020-05-04,12:26:00,200.2,198.76,205,203.56,9097688
146,2020-05-04,12:27:00,200.2,198.76,205,203.43,9119146
146,2020-05-04,12:28:00,200.2,198.76,205,203.49,9135102
146,2020-05-04,12:29:00,200.2,198.76,205,203.57,9156635
146,2020-05-04,12:30:00,200.2,198.76,205,203.54,9184322
146,2020-05-04,12:31:00,200.2,198.76,205,203.49,9198846
146,2020-05-04,12:32:00,200.2,198.76,205,203.41,9218195
146,2020-05-04,12:33:00,200.2,198.76,205,203.2,9259934
146,2020-05-04,12:34:00,200.2,198.76,205,203.16,9286895
146,2020-05-04,12:35:00,200.2,198.76,205,203.18,9308640
146,2020-05-04,12:36:00,200.2,198.76,205,203.05,9367889
146,2020-05-04,12:37:00,200.2,198.76,205,202.95,9385196
146,2020-05-04,12:38:00,200.2,198.76,205,202.98,9411733
146,2020-05-04,12:39:00,200.2,198.76,205,202.91,9426675
146,2020-05-04,12:40:00,200.2,198.76,205,203,9452122
146,2020-05-04,12:41:00,200.2,198.76,205,203.03,9490567
146,2020-05-04,12:42:00,200.2,198.76,205,202.924,9532595
146,2020-05-04,12:43:00,200.2,198.76,205,203.035,9562640
146,2020-05-04,12:44:00,200.2,198.76,205,203.18,9592048
146,2020-05-04,12:45:00,200.2,198.76,205,203.32,9632726
146,2020-05-04,12:46:00,200.2,198.76,205,203.3,9650748
146,2020-05-04,12:47:00,200.2,198.76,205,203.263,9669723
146,2020-05-04,12:48:00,200.2,198.76,205,203.335,9685634
146,2020-05-04,12:49:00,200.2,198.76,205,203.29,9707220
146,2020-05-04,12:50:00,200.2,198.76,205,203.23,9721901
146,2020-05-04,12:51:00,200.2,198.76,205,203.15,9741503
146,2020-05-04,12:52:00,200.2,198.76,205,203.17,9756450
146,2020-05-04,12:53:00,200.2,198.76,205,203.29,9778495
146,2020-05-04,12:54:00,200.2,198.76,205,203.23,9801812
146,2020-05-04,12:55:00,200.2,198.76,205,203.117,9822198
146,2020-05-04,12:56:00,200.2,198.76,205,203.229,9852956
146,2020-05-04,12:57:00,200.2,198.76,205,203.189,9867405
146,2020-05-04,12:58:00,200.2,198.76,205,203.19,9885150
146,2020-05-04,12:59:00,200.2,198.76,205,203.16,9906979
146,2020-05-04,13:00:00,200.2,198.76,205,203.21,9917522
146,2020-05-04,13:01:00,200.2,198.76,205,203.126,9944762
146,2020-05-04,13:02:00,200.2,198.76,205,203.21,9964543
146,2020-05-04,13:03:00,200.2,198.76,205,203.33,9985625
146,2020-05-04,13:04:00,200.2,198.76,205,203.4,10012626
146,2020-05-04,13:05:00,200.2,198.76,205,203.37,10029253
146,2020-05-04,13:06:00,200.2,198.76,205,203.38,10049213
146,2020-05-04,13:07:00,200.2,198.76,205,203.34,10065881
146,2020-05-04,13:08:00,200.2,198.76,205,203.33,10083944
146,2020-05-04,13:09:00,200.2,198.76,205,203.32,10104735
146,2020-05-04,13:10:00,200.2,198.76,205,203.42,10126568
146,2020-05-04,13:11:00,200.2,198.76,205,203.07,10158027
146,2020-05-04,13:12:00,200.2,198.76,205,202.75,10201232
146,2020-05-04,13:13:00,200.2,198.76,205,202.75,10230123
146,2020-05-04,13:14:00,200.2,198.76,205,202.92,10251612
146,2020-05-04,13:15:00,200.2,198.76,205,202.92,10285049
146,2020-05-04,13:16:00,200.2,198.76,205,202.88,10309327
146,2020-05-04,13:17:00,200.2,198.76,205,202.68,10337370
146,2020-05-04,13:18:00,200.2,198.76,205,202.52,10389845
146,2020-05-04,13:19:00,200.2,198.76,205,202.68,10413908
146,2020-05-04,13:20:00,200.2,198.76,205,202.73,10440656
146,2020-05-04,13:21:00,200.2,198.76,205,202.74,10468303
146,2020-05-04,13:22:00,200.2,198.76,205,202.72,10482193
146,2020-05-04,13:23:00,200.2,198.76,205,202.666,10502255
146,2020-05-04,13:24:00,200.2,198.76,205,202.62,10522560
146,2020-05-04,13:25:00,200.2,198.76,205,202.762,10545209
146,2020-05-04,13:26:00,200.2,198.76,205,202.59,10569317
146,2020-05-04,13:27:00,200.2,198.76,205,202.65,10597118
146,2020-05-04,13:28:00,200.2,198.76,205,202.68,10619840
146,2020-05-04,13:29:00,200.2,198.76,205,202.55,10647066
146,2020-05-04,13:30:00,200.2,198.76,205,202.45,10685773
146,2020-05-04,13:31:00,200.2,198.76,205,202.51,10707192
146,2020-05-04,13:32:00,200.2,198.76,205,202.52,10730978
146,2020-05-04,13:33:00,200.2,198.76,205,202.69,10746086
146,2020-05-04,13:34:00,200.2,198.76,205,202.85,10790715
146,2020-05-04,13:35:00,200.2,198.76,205,202.78,10806785
146,2020-05-04,13:36:00,200.2,198.76,205,202.84,10821704
146,2020-05-04,13:37:00,200.2,198.76,205,202.745,10834866
146,2020-05-04,13:38:00,200.2,198.76,205,202.659,10849234
146,2020-05-04,13:39:00,200.2,198.76,205,202.775,10868487
146,2020-05-04,13:40:00,200.2,198.76,205,202.8,10882881
146,2020-05-04,13:41:00,200.2,198.76,205,202.702,10900824
146,2020-05-04,13:42:00,200.2,198.76,205,202.86,10910430
146,2020-05-04,13:43:00,200.2,198.76,205,202.8,10925571
146,2020-05-04,13:44:00,200.2,198.76,205,202.66,10950202
146,2020-05-04,13:45:00,200.2,198.76,205,202.68,10967697
146,2020-05-04,13:46:00,200.2,198.76,205,202.67,10982139
146,2020-05-04,13:47:00,200.2,198.76,205,202.61,11023856
146,2020-05-04,13:48:00,200.2,198.76,205,202.71,11039141
146,2020-05-04,13:49:00,200.2,198.76,205,202.7,11063569
146,2020-05-04,13:50:00,200.2,198.76,205,202.867,11078152
146,2020-05-04,13:51:00,200.2,198.76,205,202.86,11089788
146,2020-05-04,13:52:00,200.2,198.76,205,203.02,11109940
146,2020-05-04,13:53:00,200.2,198.76,205,203.06,11171065
146,2020-05-04,13:54:00,200.2,198.76,205,203.04,11185002
146,2020-05-04,13:55:00,200.2,198.76,205,202.94,11204238
146,2020-05-04,13:56:00,200.2,198.76,205,203.02,11222449
146,2020-05-04,13:57:00,200.2,198.76,205,203.01,11238020
146,2020-05-04,13:58:00,200.2,198.76,205,203.015,11254545
146,2020-05-04,13:59:00,200.2,198.76,205,202.95,11266752
146,2020-05-04,14:00:00,200.2,198.76,205,203.05,11286999
146,2020-05-04,14:01:00,200.2,198.76,205,203,11306100
146,2020-05-04,14:02:00,200.2,198.76,205,202.99,11326134
146,2020-05-04,14:03:00,200.2,198.76,205,202.807,11349417
146,2020-05-04,14:04:00,200.2,198.76,205,202.67,11368764
146,2020-05-04,14:05:00,200.2,198.76,205,202.676,11383430
146,2020-05-04,14:06:00,200.2,198.76,205,202.615,11423800
146,2020-05-04,14:07:00,200.2,198.76,205,202.549,11444571
146,2020-05-04,14:08:00,200.2,198.76,205,202.64,11463061
146,2020-05-04,14:09:00,200.2,198.76,205,202.626,11491426
146,2020-05-04,14:10:00,200.2,198.76,205,202.65,11514079
146,2020-05-04,14:11:00,200.2,198.76,205,202.83,11530864
146,2020-05-04,14:12:00,200.2,198.76,205,203.13,11560773
146,2020-05-04,14:13:00,200.2,198.76,205,203.35,11607345
146,2020-05-04,14:14:00,200.2,198.76,205,203.295,11636460
146,2020-05-04,14:15:00,200.2,198.76,205,203.253,11655582
146,2020-05-04,14:16:00,200.2,198.76,205,203.33,11672573
146,2020-05-04,14:17:00,200.2,198.76,205,203.29,11696033
146,2020-05-04,14:18:00,200.2,198.76,205,203.435,11722756
146,2020-05-04,14:19:00,200.2,198.76,205,203.435,11748869
146,2020-05-04,14:20:00,200.2,198.76,205,203.52,11777379
146,2020-05-04,14:21:00,200.2,198.76,205,203.45,11802041
146,2020-05-04,14:22:00,200.2,198.76,205,203.5,11820810
146,2020-05-04,14:23:00,200.2,198.76,205,203.57,11859142
146,2020-05-04,14:24:00,200.2,198.76,205,203.597,11895757
146,2020-05-04,14:25:00,200.2,198.76,205,203.52,11918973
146,2020-05-04,14:26:00,200.2,198.76,205,203.52,11965399
146,2020-05-04,14:27:00,200.2,198.76,205,203.665,11993601
146,2020-05-04,14:28:00,200.2,198.76,205,203.73,12016013
146,2020-05-04,14:29:00,200.2,198.76,205,203.705,12054417
146,2020-05-04,14:30:00,200.2,198.76,205,203.91,12085608
146,2020-05-04,14:31:00,200.2,198.76,205,203.94,12163930
146,2020-05-04,14:32:00,200.2,198.76,205,203.97,12254099
146,2020-05-04,14:33:00,200.2,198.76,205,204.14,12294843
146,2020-05-04,14:34:00,200.2,198.76,205,204.05,12332222
146,2020-05-04,14:35:00,200.2,198.76,205,203.785,12384697
146,2020-05-04,14:36:00,200.2,198.76,205,203.74,12414531
146,2020-05-04,14:37:00,200.2,198.76,205,203.91,12457808
146,2020-05-04,14:38:00,200.2,198.76,205,203.97,12490158
146,2020-05-04,14:39:00,200.2,198.76,205,203.95,12524239
146,2020-05-04,14:40:00,200.2,198.76,205,203.84,12554953
146,2020-05-04,14:41:00,200.2,198.76,205,203.83,12583904
146,2020-05-04,14:42:00,200.2,198.76,205,204,12606924
146,2020-05-04,14:43:00,200.2,198.76,205,204.18,12651775
146,2020-05-04,14:44:00,200.2,198.76,205,204.16,12710398
146,2020-05-04,14:45:00,200.2,198.76,205,204.02,12748495
146,2020-05-04,14:46:00,200.2,198.76,205,204.21,12793234
146,2020-05-04,14:47:00,200.2,198.76,205,204.29,12820704
146,2020-05-04,14:48:00,200.2,198.76,205,204.32,12871210
146,2020-05-04,14:49:00,200.2,198.76,205,204.26,12915662
146,2020-05-04,14:50:00,200.2,198.76,205,204.24,12950601
146,2020-05-04,14:51:00,200.2,198.76,205,204.45,13006888
146,2020-05-04,14:52:00,200.2,198.76,205,204.51,13061167
146,2020-05-04,14:55:00,200.2,198.76,205,204.69,13177955
146,2020-05-04,14:56:00,200.2,198.76,205,204.63,13206120
146,2020-05-04,14:57:00,200.2,198.76,205,204.6,13234721
146,2020-05-04,14:58:00,200.2,198.76,205,204.64,13269900
146,2020-05-04,14:59:00,200.2,198.76,205,204.77,13332047
146,2020-05-04,15:00:00,200.2,198.76,205,204.78,13409918
146,2020-05-04,15:01:00,200.2,198.76,205,204.86,13465114
146,2020-05-04,15:02:00,200.2,198.76,205,204.89,13519114
